Country Name,"Country Code","Series Name","Series Code","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]"
Afghanistan,"AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1.41411798021916","11.2297148388595","5.35740324754602","13.8263195390595","3.92498382284523","21.390528405312","14.3624414596815","0.426354792856571","12.7522870825788","5.60074466131904","2.72454336495028","1.45131465458005","2.2603142045464","2.66529204636834",".."
Afghanistan,"AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","-3.01821977994275","7.006851412326","2.01012899493","10.7329581141356","1.34632286509957","18.3115870684776","11.1906779072261","-2.63434945889242","9.1219684787403","2.15723864539557","-0.493889435348265","-1.49112132158649","-0.452986752788249","0.139699834860679",".."
Afghanistan,"AFG","School enrollment, secondary (% gross)","SE.SEC.ENRR","18.19416","19.28372","29.19672","29.36822","39.28651","45.64571","51.98169","53.2497","55.17509","55.09867","54.01501","53.93027","51.75119","54.81341",".."
Albania,"ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","5.50999999999986","5.53000000000009","5.89999999999988","5.98","7.50000000000016","3.34999999999998","3.70999999999992","2.55000000000001","1.41999999999996","1.00000000000004","1.77000000000005","2.21999999999991","3.35000000000005","3.83554384465101",".."
Albania,"ALB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","5.95188213571518","6.07147653966305","6.57024711725482","6.78394469122567","8.32806667358838","4.04882151063748","4.22616091336101","2.82624868554436","1.58763457190916","1.18521311239857","1.98093001844177","2.51810439326781","3.5153685666811","3.9310877062523",".."
Albania,"ALB","School enrollment, secondary (% gross)","SE.SEC.ENRR","75.17921","78.30246","79.59643","82.65116","84.62044","86.22763","88.61859","90.21375","92.60745","95.77963","96.32855","95.75414","94.98138","96.12224",".."
Algeria,"DZA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","4.30162426436429","5.90779126808133","1.68448831869128","3.37287515437164","2.36013486105327","1.63224383752232","3.63414535334246","2.89186599464848","3.37476865068784","2.76763886677112","3.78912121166823","3.76346695783126","3.29999999975597","1.60000000052275",".."
Algeria,"DZA","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","2.94323229638962","4.45275223556874","0.210971674065448","1.79919689594792","0.71395280057726","-0.101599761844327","1.76368201792268","0.930355172850184","1.32110930629577","0.696353666587115","1.73328090359048","1.7902539648546","1.43140343686379","-0.151006712227598",".."
Algeria,"DZA","School enrollment, secondary (% gross)","SE.SEC.ENRR","77.17621","78.72665","79.71438","70.19822","76.64693","92.91898","96.99195","99.65495","..","..","..","..","..","..",".."
American Samoa,"ASM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","0.538358008075377","-0.401606425702823","-4.16666666666666","1.96353436185133","-2.61348005502062","-4.23728813559323","0.442477876106182","0.293685756240819","-4.39238653001463","-2.75650842266464","0.944881889763806","1.24804992199688","-2.61941448382126","-5.37974683544303",".."
